"1630595","Cade Cunningham","Detroit Pistons","0.21969924891831566"
"1630163","LaMelo Ball","Charlotte Hornets","1.1368036461644024"
"1626164","Devin Booker","Phoenix Suns","1.771560933104434"
"1629630","Ja Morant","Memphis Grizzlies","1.8145997939308214"
"201935","James Harden","Los Angeles Clippers","1.8685173365842698"
"203081","Damian Lillard","Milwaukee Bucks","2.056016459076014"
"1628973","Jalen Brunson","New York Knicks","2.1631063526691756"
"201939","Stephen Curry","Golden State Warriors","3.5622860794386675"
"1628368","De'Aaron Fox","San Antonio Spurs","3.6219563154983696"
"1630169","Tyrese Haliburton","Indiana Pacers","4.0263087015470775"
